Name; Adresse; Ansprechpartner; E-mail; Webseite; Ortsteil
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig; Am kleinen Feld 3/5, 04205, Leipzig; n/a; info@arwed-rossbach-schule.de; www.arwed-rossbach-schule.de; Grünau-Mitte, West
Berufliches Schulzentrum 1 der Stadt Leipzig; Crednerstraße 1, 04289, Leipzig; n/a; info@bsz1leipzig.de; http//www.bsz1leipzig.de/; Probstheida, Südost
Berufliches Schulzentrum 12 \"Robert Blum\" der Stadt Leipzig; Rosenowstraße 60, 04357, Leipzig; n/a; Bsz12.leipzig@t-online.de; http//www.bsz12leipzig.de/; Mockau-Nord, Nordost
Berufliches Schulzentrum 7 der Stadt Leipzig; An der Querbreite 8, 04129, Leipzig; n/a; schulleitung@bsz7-leipzig.de; http//www.bsz7-leipzig.de/; Eutritzsch, Nord
Freier Träger - Beruflich - Akademie für Kreativitätspädagogik Leipzig; Braunstraße 18, 04347, Leipzig; n.n.; info@krea-akademie.de; http//www.krea-akademie.de/; Schönefeld-Ost, Nordost
Freier Träger - Beruflich - Augsburger Lehmbaugesellschaft Leipzig gGmbH in Leipzig e.V.; Lützner Straße 93-95, 04177, Leipzig; Dustin Jähne; info@lehmbaugruppe.de; http//www.lehmbaugruppe.de/slg/index.php; Plagwitz
Freier Träger - Beruflich - AWO SPI Soziale Stadt und Land Entwicklungsgesellschaft mbH; Ludwig-Hupfeld-Straße 16, 04178, Leipzig; n/a; infoawoakademie@spi-ost.de; www.awoakademie.de; Böhlitz-Ehrenberg, Alt-West
Freier Träger - Beruflich - Bernd-Blindow-Schulen Leipzig; Comeniusstraße 17, 04315, Leipzig; n/a; leipzig@blindow.de; http//blindow.de/leipzig-bbs; Neustadt-Neuschönefeld, Ost
Freier Träger - Beruflich - Berufsbildungsinstitut und Sozialpflegeschulen Heimerer GmbH; Hohmannstraße 7b, 04129, Leipzig; n/a; leipzig@heimerer.de; http//www.heimerer-schulen.de/orte/leipzig/; Eutritzsch, Nord
Freier Träger - Beruflich - Berufsbildungswerk Leipzig für Hör- und Sprachgeschädigte; Knautnaundorfer Straße 4, 04249, Leipzig; n/a; info@bbw-leipzig.de; http//www.bbw-leipzig.de/; Knautkleeberg-Knauthain, Südwest
Freier Träger - Beruflich - Bildungsakademie Dresden; Hohe Straße 9-13, 04107, Leipzig; n/a; info@bildungsakademie-dresden.de.; http//bildungsakademie-sachsen.de/schulteile/leipzig; Zentrum-Süd, Mitte
Freier Träger - Beruflich - Bildungswerk der Sächsischen Wirtschaft gGmbH; Gutenbergstraße 10, 04178, Leipzig; n/a; fs-leipzig@bsw-mail.de; http//www.fachschule-technik-leipzig.de/; Zentrum-Südost, Mitte
Freier Träger - Beruflich - Bildungszentrum für Gesundheitsberufe Leipzig GmbH; Stötteritzer Straße 28, 04317, Leipzig; n/a; bildungszentrum-leipzig@t-online.de; http//www.bildungszentrum-leipzig.de; Reudnitz-Thonberg, Südost
Freier Träger - Beruflich - BWM GmbH; Naumburger Straße 26a, 04229, Leipzig; n/a; leipzig@drk-bildungswerk-sachsen.de; http//www.drk-bildungswerk-sachsen.de/ueber-uns/standort-leipzig; Plagwitz, Südwest
Freier Träger - Beruflich - Designschule 1.0 und Designschule 2.0 GmbH; Nordstraße 3-15, 04105, Leipzig; n/a; info@designschule.de; http//www.designschule.de/; Zentrum-Nord, Mitte
Freier Träger - Beruflich - Deutsches Erwachsenen-Bildungswerk; Industriestraße 85-95, 04229, Leipzig; Julia Hohlbaum; leipzig@deb-gruppe.org; http//www.deb.de/standorte/uebersicht/deb-leipzig; Plagwitz, Südwest
Freier Träger - Beruflich - DPFA Bildungszentrum Leipzig; Raschwitzer Straße 15, 04279, Leipzig; n/a; leipzig@dpfa.de; http//www.dpfa.de; Lößnig, Süd
