Name; Adresse; Ansprechpartner; E-mail; Webseite; Ortsteil
100. Schule - Grundschule der Stadt Leipzig; Miltitzer Allee 1, 04207, Leipzig; n/a; schule-100.gs@t-online.de; http//www.100schule-leipzig.de/; Lausen-Grünau, West
120. Schule - Grundschule der Stadt Leipzig; Martin-Herrmann-Straße 1, 04249, Leipzig; n/a; Leipzig.120.gs@t-online.de; http//www.grundschule-grosszschocher.de/; Großzschocher, Südwest
157. Schule - Grundschule der Stadt Leipzig; Hans-Driesch-Straße 41, 04179, Leipzig; n/a; Leutzscher-grundschule@t-online.de; www.157-grundschule-leipzig.de; Leutzsch, Alt-West
24. Schule - Grundschule der Stadt Leipzig; Döllingstraße 25, 04328, Leipzig; n/a; 24.gs@web.de; http//www.24gs.de/; Paunsdorf, Ost
31. Schule - Grundschule der Stadt Leipzig; Franzosenallee 21, 04289, Leipzig; n/a; Leipzig-31.gs@t-online.de; https//cms.sachsen.schule/gs31l/; Probstheida, Südost
33. Schule - Grundschule der Stadt Leipzig; Anhalter Straße 1, 04129, Leipzig; n/a; Grundschule33@t-online.de; n/a; Eutritzsch, Nord
39. Schule - Grundschule der Stadt Leipzig; Gustav-Kühn-Straße 1, 04159, Leipzig; n.n.; Sl39.grundschuleleipzig@t-online.de; http//cms.sn.schule.de/39gsl/start/; Möckern, Nordwest
46. Schule - Grundschule der Stadt Leipzig; Saalfelder Straße 29, 04179, Leipzig; n/a; Grundschule-46.leipzig@t-online.de; http//cms.sn.schule.de/gs46l; Neulindenau, Alt-West
60. Schule - Grundschule der Stadt Leipzig; Seumestraße 93, 04249, Leipzig; n/a; Gs-60@t-online.de; www.sn.schule.de/~gs60l/; Knautkleeberg-Knauthain, Südwest
66. Schule - Grundschule der Stadt Leipzig; Rosenowstraße 56, 04357, Leipzig; n/a; Grundschule-66-leipzig@t-online.de; http//www.66gsleipzig.de/; Mockau-Nord, Nordost
74. Schule - Grundschule der Stadt Leipzig; Stünzer Straße 16, 04318, Leipzig; n/a; Leipzig-74.grundschule@t-online.de; http//www.74-grundschule-leipzig.de/; Anger-Crottendorf, Ost
78. Schule - Grundschule der Stadt Leipzig; Binzer Straße 14, 04207, Leipzig; n/a; Grundschule.78@t-online.de; https//78gs.wordpress.com; Lausen-Grünau, West
