Name|Adresse|PLZ|Ort|Anrede|Leitung|Email|Telefon
Hort an der 31. Schule|Franzosenallee 21|04289|Leipzig|Frau |Albrecht|hort-31.gs@horte-leipzig.de|0341 8691314
Hort an der Clara-Wieck-Schule|Stöckelstraße 45|04347|Leipzig|Frau |Alex|hort-wieck-gs@horte-leipzig.de|0341 24586023
Hort an der 9. Schule|Gersterstraße 74|04279|Leipzig|Herr|Auerwald|hort-9.gs@horte-leipzig.de|0341 333873420/30
Betreuungsangebot an der Schule zur Lernförderung Grünau|Andromedaweg 25|04205|Leipzig|Frau|Biedermann-Hohnstein|bta-gruenau-fs@horte-leipzig.de|0341 4205188-19
Hort an der Wilhelm-Hauff-Schule|Diderotstraße 37|04159|Leipzig|Frau |Böhm|hort-hauff-gs@horte-leipzig.de|0341 90834434
Hort an der W.-Wander Schule|Schulze-Delitzsch-Straße 23|04315|Leipzig|Frau |Dardouri|hort-wander-gs@horte-leipzig.de|0341 60016520
Hort an der 100. Schule|Miltitzer Allee 1|04207|Leipzig|Frau |Davila-Martinez||0341 9444715
Hort an der Erich-Kästner-Schule|Erfurter Straße 9|04155|Leipzig|Frau |Droemert|hort-e.kaestner-gs@horte-leipzig.de|0341 586145019
forum thomanum Hort|Schreberstraße 5|04109|Leipzig|Frau|Fröhlich|hort@forum-thomanum.de|0341 97434421
Betreuungsangebot an der Schule zur Lernförderung "Fritz Gietzelt"|Kantatenweg 40|04229|Leipzig|Frau |Gebhardt|bta-gietzelt-fs@horte-leipzig.de|0341 2528-7916
Hort an der 120. Schule|Martin-Herrmann-Straße 1|04249|Leipzig|Herr|Göhler|hort-120.gs@horte-leipzig.de|0341 41571726
Hort an der Wilhelm-Busch-Schule|Heinrichstraße 43/45|04317|Leipzig|Frau |Göpner|hort-busch-gs@horte-leipzig.de|0341 6493319
Hort an der Joachim-Ringelnatz-Schule|Grünauer Allee 35|04209|Leipzig|Frau |Granzow|hort-ringelnatz-gs@horte-leipzig.de|0341 41292919 oder 0341 41292918
Hort an der H.-Mann-Schule|Schwarzenbergweg 4|04289|Leipzig|Frau |Griebsch|hort-mann-gs@horte-leipzig.de|0341 8629387
Hort an der 157. Schule|Hans-Driesch-Straße 41|04179|Leipzig|Frau |Günther|hort-157.gs@horte-leipzig.de|0341 45360415
Betreuungsangebot am Förderzentrum für Erziehungshilfe|Garskestraße 19/21|04205|Leipzig|Frau |Häßler|bta-erziehungshilfe-fz@horte-leipzig.de|0341 22570-3818
Betreuungsangebot an der Schule zur Lernförderung "Ernst Zinna"|Wincklerstraße 3/5|04279|Leipzig|Frau |Havel|bta-zinna-fs@horte-leipzig.de|0341 33386717
Hort an der Lessingschule|Lessingstraße 27|04109|Leipzig|Frau |Herzfeld|hort-lessing-gs@horte-leipzig.de|0341 308688920
Hort an der Carl-von-Linné-Schule|Delitzscher Straße 110|04129|Leipzig|Frau |Heßler|hort-linne-gs@horte-leipzig.de|0341 9047722
Hort in der Puschstraße|Puschstraße 9|04103|Leipzig|Frau|Holtz||
An der Schule Kombinierte Tageseinrichtung|An der Schule 1|04158|Leipzig|Frau|Hummitzsch||0341 4619147
Hort an der Schule am Auwald|Rödelstraße 6|04229|Leipzig|Frau |Huppert|hort-auwald-gs@horte-leipzig.de|0341 253479020
Hort an der Franz-Mehring-Schule|Gletschersteinstraße 9|04299|Leipzig|Frau |Janek|hort-mehring-gs@horte-leipzig.de|0341 86049920
Hort der Nachbarschaftsschule|Odermannstraße 4/6|04177|Leipzig|Frau|Jarchow||0341 4772223
Hort an der Paul-Robeson-Schule|Jungmannstraße 5|04159|Leipzig|Frau |Jentzsch|hort-robeson-gs@horte-leipzig.de|0341 68701723
Hort an der 78. Schule|Binzer Straße 14|04207|Leipzig|Frau |Kaminski|hort-78.gs@horte-leipzig.de|0341 94546815
Hort an der Grundschule Holzhausen|Stötteritzer Landstraße 21|04288|Leipzig|Herr|Kammertöns|hort-holzhausen-gs@horte-leipzig.de|034297 73320
Hort an der Marienbrunner Schule|An der Märchenwiese 49|04277|Leipzig|Frau |Karthäuser|hort-marienbrunner-gs@horte-leipzig.de|0341 86920518
Hort der Schule Connewitz|Zwenkauer Straße 35|04277|Leipzig|Frau |Kietzmann|hort-connewitz-gs@horte-leipzig.de|0341 2257655-20
Betreuungsangebot an der Schule zur Lernförderung "Adolph Diesterweg"|Portitzer Straße 1|04318|Leipzig|Frau |Kirschen||0341 65224924
Hort an der Schule am Adler|Antonienstraße 24|04229|Leipzig|Frau |Klein|hort-adler-gs@horte-leipzig.de|0341 429912718
Hort der Grundschule "Clara Schumann"|Inselstraße 18|04203|Leipzig|Frau|Koch||0341 3939613
Hort in der Schletterstraße|Schletterstraße 7|04107|Leipzig|Frau|Köhler||0341 9948950
Hort an der Christoph-Arnold-Schule|Gaswerksweg 1|04319|Leipzig|Frau |Kulemann|hort-arnold-gs@horte-leipzig.de|0341 65220820
Friedrich-Fröbel-Schule Hort|Mannheimer Straße 128c|04209|Leipzig|Frau |Lange|hort-froebel-gs@horte-leipzig.de|0341 420518920
Hort an der 8. Schule|Wincklerstraße 3/5|04279|Leipzig|Frau |Lindner|hort-8.gs@horte-leipzig.de|0341 33399816
Hort an der 39. Schule|Gustav-Kühn-Straße 1|04159|Leipzig|Frau |Lorbeer|hort-39.gs@horte-leipzig.de|0341 909865820
Hort an der Brüder-Grimm-Schule|Goldsternstraße 23|04329|Leipzig|Frau |Mackscheidt|hort-grimm-gs@horte-leipzig.de|0341 252798821
Hort an der Karl-Liebknecht-Schule|Heinrich-Mann-Straße 1|04157|Leipzig|Frau |Mann|hort-liebknecht-gs@horte-leipzig.de|0341 90987919
Hort an der Anna-Magdalena-Bach Schule|Manetstraße 8|04109|Leipzig|Frau |Müller|hort-a.m.bach-gs@horte-leipzig.de|0341 14062727
Hort an der 60. Schule|Schönbergstraße 2/4|04249|Leipzig|Herr|Niesch|Hort-60.gs@horte-leipzig.de|0341 23049732
Hort an der Astrid-Lindgren-Schule|Volksgartenstraße 16|04347|Leipzig|Frau |Olschok|hort-lindgren-gs@horte-leipzig.de|0341 23405825
Hort an der Theodor-Körner-Schule|Schlehenweg 32|04329|Leipzig|Frau |Otto|hort-koerner-gs@horte-leipzig.de|0341 12459920
Hort an der Schule am Floßplatz|Hohe Straße 45|04107|Leipzig|Frau |Pechan|hort-flossplatz-gs@horte-leipzig.de|0341 91046026
Hort der Erich-Zeigner-Schule|Erich-Zeigner-Allee 24|04229|Leipzig|Frau |Petersohn|hort-zeigner-gs@horte-leipzig.de|0341 870593938
Hort in der Leipziger Straße|Leipziger Straße 200|04178|Leipzig|Frau|Polland||0341 4410476
Hort an der Grundschule Liebertwolkwitz|Am Angerteich 2|04288|Leipzig|Frau |Richter|hort-liebertwolkwitz-gs@horte-leipzig.de|034297 142532
Hort an der August-Bebel-Schule|Husemannstraße 2|04315|Leipzig|Herr|Riedel|hort-bebel-gs@horte-leipzig.de|0341 68706334
Hort in der Grünen Gasse|Grüne Gasse 21b|04318|Leipzig|Frau|Rödiger-Fliegel||0341 6992291
Hort an der 91. Schule|Uranusstraße 1|04205|Leipzig|Frau |Rohde|hort-91.gs@horte-leipzig.de|0341 41297814
Betreuungsangebot an der Schule zur Lernförderung "Johann-Heinrich-Pestalozzi"|Hannoversche Straße 2|04157|Leipzig|Frau |Rost|bta-pestalozzi-fs@horte-leipzig.de|0341 1493-4917
Hort an der 172. Schule|Prießnitzstraße 19|04179|Leipzig|Frau |Rumeid|hort-172.gs@horte-leipzig.de|0341 45341915
Hort an der 74. Schule|Stünzer Straße 16|04318|Leipzig|Frau |Salbert|hort-74.gs@horte-leipzig.de|0341 6493020
Hort an der 24. Schule|Döllingstraße 25|04328|Leipzig|Frau |Sanli|hort-24.gs@horte-leipzig.de|0341 14936920
"Villa Kunterbunt" Hort|Seehausener Allee 15|04356|Leipzig|Frau|Scheibler||0341 5217159
Alte Salzstraße Hort|Alte Salzstraße 65/67|04209|Leipzig|Frau|Schirlitz||0341 4240166
Hort an der Schule am Rabet|Eisenbahnstraße 50|04315|Leipzig|Frau |Schlecht|hort-rabet-gs@horte-leipzig.de|0341 6992268-16
Hort an der Schule Portitz|Göbschelwitzer Weg 1|04349|Leipzig|Frau |Schlegel|hort-portitz-gs@horte-leipzig.de|0341 92167922
Kita und Hort der freien Grundschule "Regenbogen" |Raschwitzer Straße 15|04279|Leipzig|Frau|Schneider||0341 3363610
Hort an der 46. Schule|Saalfelder Straße 29|04179|Leipzig|Frau |Scholz|hort-46.gs@horte-leipzig.de|0341 478427620/-21
Hort Berthastraße|Berthastraße 15|04357|Leipzig|Frau|Schumann ||0341 4229891
Hort an der 66. Schule|Rosenowstraße 56|04357|Leipzig|Frau |Springsguth|hort-66.gs@horte-leipzig.de|0341 600377921
Hort in der Heinrich-Heine-Straße |Heinrich-Heine-Straße 64|04178|Leipzig|Herr|Starke||0341 4418877
Hort an der Kurt-Masur-Schule|Scharnhorststraße 24|04275|Leipzig|Frau |Stary |hort-masur-gs@horte-leipzig.de|0341 225707820
Hort an der Hans-Kroch-Schule|Jörgen-Schmidtchen-Weg 8|04157|Leipzig|Frau |Stichel|hort-kroch-gs@horte-leipzig.de|0341 9102473-26
Hort an der 77. Schule|Riebeckstraße 50|04317|Leipzig|Frau |Stockmann|hort-77.gs@horte-leipzig.de|0341 23089815
Hort an der 85. Schule|Stuttgarter Allee 3|04209|Leipzig|Frau |Syfus|hort-85.gs@horte-leipzig.de|0341 12454820
Hort an der Hans-Christian-Andersen-Schule|Louis-Fürnberg-Straße 2|04318|Leipzig|Frau |Tauche|hort-andersen-gs@horte-leipzig.de|0341 234187030
Hort an der Ernst-Pinkert-Schule|Martinstraße 7|04109|Leipzig|Frau |Thier|hort-pinkert-gs@horte-leipzig.de|0341 6494245
Hort an der Pablo-Neruda-Schule|Tarostraße 6|04103|Leipzig|Frau |Unger|hort-neruda-gs@horte-leipzig.de|0341 12458935
Hort der Schule Rückmarsdorf|An der Friedenseiche 4|04178|Leipzig|Frau |Urban|GS-Rueckmarsdorf@t-online.de|0152 22989163
Hort an der 33. Schule|Anhalter Straße 1|04129|Leipzig|Frau |Wadewitz|hort-33.gs@horte-leipzig.de|0341 909865920
Hort der Fanny-Hensel-Schule|Weißenfelser Straße 13|04229|Leipzig|Frau |Winter|hort-hensel-gs@horte-leipzig.de|0341 337560413
Hort an der Adam-Friedrich-Oeser Schule|Geibelstraße 74|04129|Leipzig|Frau |Winter-Haupt|hort-oeser-gs@horte-leipzig.de|0341 91962920
Hort an der 5. Schule|Eitingonstraße 5|04105|Leipzig|Herr|Witt|hort-5.gs@horte-leipzig.de|0341 350587825
Hort in der Torgauer Straße|Torgauer Straße 114|04347|Leipzig|Frau|Wolff||0341 2522748
Hort an der Geschwister-Scholl-Schule|Elsbethstraße 1|04155|Leipzig|Frau |Würzberger|hort-scholl-gs@horte-leipzig.de|0341 14959920
Hort der Karl-Schubert-Schule Leipzig|Raschwitzer Straße 4|04279|Leipzig|Herr|Zabel||0341 20016940
Hort der Freien Aktiven Schule|Eisenacher Straße 40|04155|Leipzig|||kontakt@aktive-schule-leipzig.de|0341 24066555
