stop_id,stop_name,stop_lat,stop_lon
"0000145","Leipzig, Arcus Park","51.361559","12.446591"
"0000152","Leipzig, Bergstr.","51.340545","12.402030"
"0000154","Leipzig, Breitscheidhof","51.351856","12.286928"
"0000163","Leipzig, Bremer Str.","51.376188","12.365049"
"0000164","Leipzig, Dankwartstr.","51.299198","12.392830"
"0000165","Leipzig, S-Bahnhof MDR","51.320862","12.385920"
"0000170","Leipzig, Erich-Zeigner-Allee","51.327144","12.337830"
"0000192","Leipzig, Goetheplatz","51.355442","12.286984"
"0000223","Leipzig, Gröpplerstr.","51.334249","12.314691"
"0000486","Leipzig, Lise-Meitner-Str.","51.355189","12.305563"
"0000613","Leipzig, Louis-Fürnberg-Str.","51.348694","12.430289"
"0000688","Leipzig, Morgensternstr.","51.335064","12.311980"
"0000693","Leipzig, Reinhardtstr.","51.346756","12.430130"
"0000694","Leipzig, Rosmarinweg","51.346087","12.428127"
"0000695","Leipzig, Schleußig, Karlbrücke","51.326096","12.340538"
"0000696","Leipzig, Schwantesstr.","51.353775","12.430253"
"0000697","Leipzig, Stünz","51.339657","12.433031"
"0000698","Leipzig, Taubestr.","51.357431","12.411310"
"0000702","Leipzig, Wilhelm-Winkler-Str.","51.354192","12.289235"
"0000703","Leipzig, Zittauer Str.","51.356110","12.409130"
"0000704","Leipzig, Zweenfurther Str.","51.340227","12.431408"
"0000705","Leipzig, Cunnersdorfer Str.","51.342100","12.429768"
"0000712","Leipzig, Portitz, Schule","51.386158","12.455541"
"0000823","Leipzig, Porsche/Tor 2$Leipzig, Porsche/Südtor","51.399017","12.295242"
"0000851","Leipzig, Porsche/Tor 3","51.400589","12.290195"
"0003639","Leipzig, Bästlein-/Schwantesstr.","51.356546","12.430819"
"0003744","Leipzig, Porsche/Tor 1$Leipzig, Porsche/Nordtor","51.410289","12.295033"
"0003851","Markkleeberg, Ost, Auenplatz","51.277182","12.392954"
"0003862","Leipzig, Bei der Krähenhütte","51.287318","12.398463"
"0003863","Leipzig, Johannishöhe","51.286683","12.407307"
"0003866","Leipzig, Springerstr.","51.355076","12.370322"
"0003867","Zum Dölitzer Schacht","51.286964","12.401979"
"0009698","Friedensdorf, Abzweig","51.359377","12.060325"
"0009727","Göhren (Zweimen), Abzweig","51.352102","12.136776"
"0009744","Günthersdorf, IKEA (Leuna)","51.348210","12.180373"
"0009791","Merseburg, Gotthardstr.","51.353979","11.993395"
"0009817","Kreypau, Abzweig","51.357480","12.033402"
"0009889","Markranstädt, Markt","51.301576","12.220950"
"0009900","Merseburg, Rischmühleninsel","51.353842","12.002605"
"0010089","Tragarth (Luppenau), Abzweig","51.359038","12.052677"
"0010108","Wallendorf (Luppe), Anker","51.359235","12.070584"
"0010109","Wallendorf (Luppe), Bergschänke","51.358044","12.085770"
"0010133","Merseburg, Bahnhof","51.355635","11.991205"
"0010147","Zöschen, An der B181","51.356751","12.116902"
"0010151","Zschöchergen, Abzweig (Kötschlitz)","51.346427","12.154578"
"0010440","Merseburg, Amtshäuser","51.359095","12.016132"
"0010688","Leipzig, Rückmarsdorf, Einkaufspassage","51.345800","12.267499"
"0010689","Borsdorf (Sachsen), Heinrich-Heine-Str.","51.344266","12.539092"
"0010714","Schkölen (Markranstädt)","51.264374","12.207368"
"0010715","Thronitz (Markranstädt)","51.274781","12.207205"
"0010716","Schkeitbar (Markranstädt)","51.253542","12.221644"
"0010717","Räpitz, Am Bahnhof (Markranstädt)","51.261486","12.213630"
"0010719","Göhrenz (Markranstädt), Lindenallee","51.288744","12.259944"
"0010750","Leipzig, Lipsiusstr.","51.330800","12.414010"
"0010752","Leipzig, Möckern, Slevogtstr.","51.371101","12.340498"
"0010756","Leipzig, Holsteinstr.","51.331100","12.411406"
"0010758","Leipzig, Liebigstr.","51.330502","12.392401"
"0010759","Leipzig, Schulze-Boysen-Str.","51.332503","12.400601"
"0010762","Leipzig, Fockestr.","51.320903","12.365804"
"0010764","Leipzig, Erika-von-Brockdorff-Str.","51.369807","12.345504"
"0010767","Leipzig, Michael-Kazmierczak-Str.","51.367303","12.372599"
"0010786","Leipzig, Hartmannsdorf, Erikenstr.","51.261705","12.306412"
"0010787","Leipzig, Karl-Heine-/Gießerstr.","51.329800","12.327302"
"0010788","Leipzig, Diezmannstr.","51.320107","12.317803"
"0010789","Leipzig, Adler","51.320303","12.330201"
"0010790","Leipzig, Holbeinstr.","51.328101","12.346210"
"0010791","Leipzig, Stieglitzstr.","51.323907","12.343809"
"0010793","Leipzig, Marschnerstr.","51.336508","12.357201"
"0010795","Leipzig, Klingerweg","51.332507","12.350607"
"0010796","Leipzig, Kurt-Kresse-Str.","51.314406","12.315899"
"0010797","Leipzig, Herrmann-Meyer-Str.","51.315401","12.310002"
"0010810","Leipzig, Siemensstr.","51.321802","12.326206"
"0010811","Leipzig, Hauptbahnhof/Ostseite","51.344511","12.385267"
"0010813","Leipzig, Rödelstr.","51.318503","12.341005"
"0010814","Leipzig, S-Bahnhof Plagwitz","51.328283","12.322772"
"0010815","Leipzig, Zollschuppenst.","51.326959","12.324441"
"0010817","Leipzig, Naumburger Str.","51.326501","12.327608"
"0010818","Leipzig, Messegelände","51.396722","12.396585"
"0010823","Leipzig, Georg-Herwegh-Str.","51.394894","12.383039"
"0010824","Leipzig, S-Bahnhof Messe","51.396048","12.388830"
"0010827","Leipzig, Rochlitzstr.","51.318800","12.347900"
"0010828","Leipzig, Rennbahn","51.321200","12.361406"
"0010856","Leipzig, Bahnhof Paunsdorf","51.343502","12.445106"
"0010861","Leipzig, Hartmannsdorf, Gasthof","51.267401","12.309100"
"0010917","Gärnitz, Gasthof (Markranstädt)","51.280085","12.231101"
"0010918","Seebenisch, Mitte (Markranstädt)","51.274896","12.231124"
"0010919","Kulkwitz, Göhrenzer Str. (Markranstädt)","51.290053","12.241625"
"0010920","Kulkwitz, Kirche (Markranstädt)","51.283037","12.232628"
"0010922","Kulkwitz, Kraftwerk (Markranstädt)","51.294185","12.232350"
"0010923","Erdmannshain, Sachsenklinik","51.290044","12.574239"
"0010924","Markranstädt, Lausener Str.","51.297661","12.224678"
"0010925","Seebenisch, Am Alten Bahnhof (Markranstädt)","51.271966","12.233040"
"0010926","Räpitz, Wiesenweg (Markranstädt)","51.258471","12.216687"
"0010935","Leipzig, Knautnaundorf, Gefrierzentrum","51.250003","12.274910"
"0010937","Leipzig, Knautnaundorf, Rundkapel","51.253908","12.271605"
"0010939","Leipzig, Knauthain, Abzweig n. Hartmannsdorf","51.263401","12.292503"
"0010980","Leipzig, Eutritzscher Zentrum","51.365203","12.385200"
"0010983","Leipzig, Bayerischer Bahnhof","51.330520","12.380920"
"0010987","Priesteblich (Markranstädt)","51.330836","12.205851"
"0010994","Dölzig (Schkeuditz), Holländische Mühle","51.348831","12.206060"
"0010995","Günthersdorf (Leuna), Nova Eventis$Saalepark (Günthersdorf)","51.345806","12.178843"
"0010996","Markkleeberg, West","51.277003","12.362433"
"0010997","Leipzig, Wildpark","51.300601","12.372608"
"0010998","Markkleeberg, S-Bahnhof","51.279148","12.370060"
"0010999","Markkleeberg, Ring","51.277477","12.368747"
"0011000","Markkleeberg, Forsthaus Raschwitz","51.289621","12.368906"
"0011001","Markkleeberg, Parkstr.","51.283169","12.370010"
"0011002","Leipzig, Mathildenstr.","51.307307","12.373602"
"0011003","Leipzig, Koburger Brücke","51.303405","12.374205"
"0011004","Leipzig, Gottschedstr.","51.341307","12.367602"
"0011005","Leipzig, Westplatz","51.339002","12.362408"
"0011006","Albrechtshain (Naunhof), Dorfstr.","51.301832","12.567209"
"0011009","Eicha (b. Grimma), Naunhofer Str.","51.295863","12.570963"
"0011014","Naunhof (b. Grimma), Markt","51.278095","12.588293"
"0011016","Naunhof (b. Grimma), Bahnhof","51.277001","12.593742"
"0011018","Fuchshain, Kirche (Naunhof)","51.281780","12.535801"
"0011020","Naunhof (b. Grimma), Brandiser Str.","51.287444","12.585739"
"0011022","Erdmannshain, Kirche","51.286993","12.577286"
"0011024","Fuchshain, Feldstr. (Naunhof)","51.279002","12.539344"
"0011049","Albersdorf (Markranstädt)","51.285986","12.264997"
"0011051","Markranstädt, Am Hopfenteich","51.304463","12.216692"
"0011053","Göhrenz (Markranstädt), Schachthäuser","51.292009","12.244387"
"0011054","Göhrenz (Markranstädt), Gaststätte am See","51.292302","12.249355"
"0011057","Göhrenz (Markranstädt), Waldsiedlung","51.290415","12.254829"
"0011059","Leipzig, Edlichstr.","51.342847","12.414691"
"0011060","Leipzig, Geißlerstr., Bülowviertel","51.344855","12.419205"
"0011061","Leipzig, Reudnitz, Koehlerstr.","51.338904","12.403100"
"0011062","Leipzig, Wiebelstr.","51.340039","12.408295"
"0011063","Leipzig, Johannisplatz$MDV","51.337899","12.386301"
"0011064","Leipzig, Gerichtsweg","51.339107","12.395205"
"0011066","Taucha (b. Leipzig), Lindnerstr.","51.379720","12.490647"
"0011069","Leipzig, Annenstr.","51.343722","12.421677"
"0011070","Leipzig, Sellerhausen","51.343849","12.428089"
"0011071","Leipzig, Sportforum Süd","51.340699","12.351206"
"0011072","Leipzig, Angerbrücke","51.337402","12.340112"
"0011073","Leipzig, Leibnizstr.","51.343306","12.365006"
"0011074","Leipzig, Waldplatz","51.342307","12.359104"
"0011076","Leipzig, Felsenkeller","51.332500","12.338909"
"0011077","Leipzig, Karl-Heine-/Merseburger Str.","51.331404","12.333504"
"0011078","Leipzig, Elster Passage","51.328702","12.336508"
"0011079","Leipzig, Markranstädter Str.","51.325305","12.334209"
"0011080","Großpösna, Feldstr.","51.277365","12.504723"
"0011082","Großpösna, Auensiedlung","51.282883","12.504541"
"0011084","Großpösna, Alter Gasthof","51.270991","12.499578"
"0011086","Großpösna, Fuchshainer Str.","51.273987","12.504035"
"0011088","Großpösna, Oskar-Uhlmann-Str.","51.269916","12.494035"
"0011090","Großpösna, Brauteich","51.268865","12.503602"
"0011093","Großpösna, Damaschkestr.","51.266477","12.493874"
"0011094","Großpösna, Pflaumenallee","51.264377","12.503060"
"0011096","Seifertshain (Großpösna)","51.291638","12.519019"
"0011098","Fuchshain, Schulstr. (Naunhof)","51.283617","12.530364"
"0011102","Leipzig, August-Bebel-/Kurt-Eisner-Str.","51.320904","12.368904"
"0011115","Leipzig, Leopoldstr$Leipzig, Wolfgang-Heinze-/Meusdorfer Str.","51.304200","12.374106"
"0011120","Leipzig, Grünau-Süd","51.306000","12.285598"
"0011121","Leipzig, Schönauer/Ratzelstr.","51.314406","12.303202"
"0011122","Leipzig, Nonnenstr.","51.332403","12.348906"
"0011123","Leipzig, Hohenheida, Gasthof","51.420000","12.446504"
"0011124","Leipzig, Hohenheida, Am Anger","51.420204","12.452704"
"0011126","Leipzig, Göbschelwitz","51.419607","12.422199"
"0011127","Leipzig, Seehausen, Schule","51.403699","12.413304"
"0011128","Leipzig, Gut Seehausen","51.406104","12.418702"
"0011129","Leipzig, Mölkau, Anemonenweg","51.331704","12.438407"
"0011130","Leipzig, Seehausen, Alte Mühle","51.413200","12.420210"
"0011131","Leipzig, Gottscheina, Am Ring","51.425102","12.479207"
"0011167","Leipzig, Holzhausen, Bahnhof","51.305506","12.461709"
"0011176","Leipzig, GVZ Nord/Deutsche Post AG","51.413589","12.293430"
"0011182","Leipzig, GVZ Nord/Großmarkt Leipzig","51.410597","12.305824"
"0011198","Leipzig, GVZ Nord/Sattlerweg","51.408609","12.302316"
"0011199","Leipzig, Krakauer Str.","51.309304","12.272306"
"0011200","Leipzig, Zschampertaue","51.307307","12.266210"
"0011201","Leipzig, Ratzelbogen","51.312006","12.283703"
"0011212","Leipzig, Arno-Nitzsche-Str.","51.310208","12.381204"
"0011214","Wachau, Hotel Atlanta","51.280835","12.427735"
"0011228","Leipzig, GVZ Nord/T&S","51.413141","12.302657"
"0011274","Leipzig, Heisenbergstr.","51.364402","12.465105"
"0011275","Taucha (b. Leipzig), Otto-Schmidt-Str.","51.372638","12.475138"
"0011276","Leipzig, Heiterblick, Teslastr.","51.364205","12.452004"
"0011277","Leipzig, Portitzer Allee/S-Bahnhof Heiterblick","51.367404","12.460606"
"0011278","Leipzig, Bautzner Str.","51.355602","12.434210"
"0011280","Leipzig, Volksgarten","51.348322","12.419966"
"0011282","Taucha (b. Leipzig), Theodor-Körner-Str.","51.375062","12.481902"
"0011283","Taucha (b. Leipzig), Freiligrathstr.","51.376442","12.485685"
"0011284","Leipzig, Lausen","51.306604","12.260810"
"0011287","Leipzig, Am Sonneneck","51.301353","12.262402"
"0011318","Leipzig, Zschortauer Str.","51.376500","12.394712"
"0011319","Leipzig, Franz-Mehring-Str.","51.376201","12.369906"
"0011320","Leipzig, Gohlis-Nord, Virchowstr.","51.375801","12.379101"
"0011321","Leipzig, Olbrichtstr.","51.374905","12.356507"
"0011324","Leipzig, Sternsiedlung Nord","51.375302","12.346106"
"0011325","Leipzig, Rosenowstr.","51.376202","12.402506"
"0011326","Leipzig, Komarowstr.","51.378901","12.415408"
"0011327","Leipzig, Riebeck-/Stötteritzer Str.","51.327605","12.403611"
"0011329","Leipzig, Breite Str.","51.335713","12.408017"
"0011330","Leipzig, Riebeck-/Oststr.","51.331899","12.405910"
"0011331","Leipzig, Sommerfeld","51.346491","12.479015"
"0011332","Leipzig, Elsastr.","51.342474","12.398785"
"0011333","Leipzig, Paunsdorfer Allee/Permoserstr.","51.352108","12.479111"
"0011334","Leipzig, Paunsdorf Center","51.348867","12.479253"
