16. Oberschule  |Konradstraße  |67  |04315  |Leipzig  |  |0341-6865780  |http://www.ms16.de  |Herr Uwe Hempel  |Schulleiter  |51.3443432,12.4120169  |  |  |Die Schule wurde 1890 als 16. Bürgerschule eröffnet. 2006 wurde sie durch das Sächsische Kultusminis[...]  |Oberschule||||||||||||||
Allgemeiner Turnverein Volkmarsdorf e.V.  |Torgauer Straße  |15  |04315  |Leipzig  |  |0341-6882995  |http://www.atv-volkmarsdorf.de/  |Peter Zinke  |Vorsitzender  |51.34339,12.41211  |  |images/atv_volkmarsdorf.jpg  |Der ATV besteht seit über 150 Jahren als Sportverein in Volkmarsdorf. Die Sportgruppen üben in einer[...]  | ||||||||||||||
Animato Musikschule e.V.  |Lilienstraße  |27  |04315  |Leipzig  |  |0177-3309570  |  |Jens Schneegaß  |  |51.3397702,12.406164  |  |  |  | ||||||||||||||
Bahá´i Zentrum Leipzig  |Konradstraße  |57  |04315  |Leipzig  |grleipzig@web.de  |0341-5196134  |http://www.leipzig.bahai.de  |  |  |51.34458,12.4097  |  |  |Die Bahá''í in Leipzig repräsentieren die jüngste Weltreligion und setzen sich für das friedliche Mi[...]  | ||||||||||||||
IC-E InfoCenter Eisenbahnstraße  |Eisenbahnstraße  |49  |04315  |Leipzig  |  |0341-6810080  |http://www.leipziger-osten.de  |Claudia Thiele  |  |51.3458303,12.4022876  |  |images/ice.jpg  |Im IC-E gibt es Informationen zu den Planungen, Projekten und Beteiligungsmöglichkeiten im Leipziger[...]  | ||||||||||||||
Integrativer Bürgerverein Volkmarsdorf e.V.  |Konradstraße  |57  |04315  |Leipzig  |  |0341-5293510  |  |Stefan Kuhtz  |Vorsitzender  |51.34458,12.4097  |  |images/integrativer_bv.jpg  |Der Verein hat es sich zur Aufgabe gemacht, gemeinsam mit interessierten Bürgern sowie anderen lokal[...]  | ||||||||||||||
Interessengemeinschaft Eisenbahnstraße - "Die Lo(c)k-Meile" e.V.  |Eisenbahnstraße  |23  |04315  |Leipzig  |  |0341-6888297  |  |Rolf Müller  |Vorsitzender  |51.3459388,12.3982768  |  |  |  ||||||  |0341-6993991  |http://www.knicklicht-leipzig.de  |Lars Heymann  |  |51.3381551,12.4066034  |  |images/knicklicht1_zuschnitt.jpg  |geöffnet: Di-So 17-23 Uhr, Sa/So auch 10-13 Uhr  | 
KulturLounge  |Dresdner Straße  |25  |04103  |Leipzig  |  |0341-3373775  |http://www.kulturlounge.de  |Pierre Eichner  |  |51.339163,12.394894  |  |  |  | ||||||||||||||
Lebenszeiten Verein für Frauen und Mädchen e.V.  |Dresdner Straße  |82  |04317  |Leipzig  |  |0341-5298026  |http://www.lebenszeiten.leipzigerinnen.de  |  |  |51.3380105,12.4064493  |  |images/frauensymbol.jpg  |Der Verein will Begegnungen zwischen verschiedenen Generationen ermöglichen. Dazu gibt es verschiede[...]  | ||||||||||||||
Leipziger Förderverein für Kinder und Familien|Konradstraße  |69  |04315  |Leipzig  |  |0341-6810796  |  |Karin Fahnert  |  |51.3443047,12.4127917  |  |  |Wohnprojekt für allein erziehende Mütter und deren Kinder, Familienbetreuungs- und beratungszentrum,[...]  |||||||||||||||
Naomi e.V., Jugendmigrationsdienst und Migrationserstberatung  |Eisenbahnstraße |66|04315  |Leipzig  |jmd@naomi-leipzig.de  |0341-9610975  |http://www.naomi-leipzig.de/  |Schwester Gudrun Neubert  |  |51.3444334,12.4097177  |  |images/naomi.jpg  |Der Verein hilft zugewanderten Menschen bei der Integration mit Beratung bei formellen Eingliederung[...]  |Aussiedlerberatung ||||||||||||||
Offener Freizeittreff "Club Sellerhausen"  |Püchauer Straße  |4  |04315  |Leipzig  |  |0341-2301023  |http://www.club-sellerhausen.de  |Dorit Koblitz  |  |51.34519,12.42797  |  |  |Erreichbarkeit: Linie 7 und 8 bis Haltestelle Sellerhäuser Kirche  | ||||||||||||||
Offener Freizeittreff "Rabet"  |Eisenbahnstraße  |54  |04315  |Leipzig  |oft-rabet@web.de  |0341-6995598  |http://www.oft-rabet.de/  |  |  |51.3458,12.4026  |  |images/oft_rabet_2.jpg  |Mitten im schönen Stadtteilpark gelegen, sind wir ein bunter und offener Anziehungspunkt für Jung un[...] |||||||||||||||
Offener Freizeittreff "Tante Hedwig"  |Hedwigstraße  |7  |04315  |Leipzig  |  |0341-6884696  |  |  |  |51.3467247,12.4032398  |  |images/v_tante_hedwig.jpg  |Erreichbarkeit: Linie 1, 3, 8 Haltestelle Eisenbahn/Hermann-Liebmann-Str  |||||||||||||||
Sportverein Leipzig Ost 1858 e.V.  |Wurzner Straße  |140b  |04315  |Leipzig  |info@sv-leipzig-ost-1858.de  |0341-2332406  |http://www.sv-leipzig-ost-1858.de  |Jürgen Schmidt  |  |51.343684,12.4211439  |  |  |Fussball,Gymnastik, Handball, Laufen  | ||||||||||||||
Stadtjugendring Leipzig e.V.  |Dresdner Straße  |82  |04317  |Leipzig  |  |0341-6894859  |http://www.stadtjugendring-leipzig.de  |  |  |51.3380105,12.4064493  |  |images/v_stadtjugendring.jpg  |Der Dachverband von mehr als 40 freien Trägern der Kinder- und Jugendarbeit in Leipzig vertritt die [...]  | ||||||||||||||
Stadtpfadfinder  |Eisenbahnstraße  |35  |04315  |Leipzig  |  |0341-6865277  |http://www.stadtpfadfinder.de  |  |  |51.3459571,12.3999779  |  |  |  | ||||||||||||||
Stadtteilbibliothek Volkmarsdorf  |Torgauer Platz  |3  |04315  |Leipzig  |  |0341-6802019  |http://www.leipzig.de/de/buerger/bildung/bib/sbib/stadtteilbib/01160.shtml  |Frau Pontow  |  |51.34596,12.41544  |  |  |Belletristik, Kinderliteratur, Sachliteratur, Spiele, Kassetten, CD´s, DVD´s, CD-ROM, Videos, Zeitsc[...]  | ||||||||||||||
Straßenkinder Haus Tante E.  |Rosa-Luxemburg-Straße  |38  |04315  |Leipzig  |info@strassenkinder-leipzig.de  |0341-6819824  |http://www.strassenkinder-leipzig.de/  |  |  |51.3456558,12.3932119  |  |  |  | ||||||||||||||
